laptop_id,manufacturers_info,product,laptop_type,inches,operating_system,weight,price_euros,ScreenResolution_Retina,ScreenResolution_HD,ScreenResolution_Other,cpu_speed,Memory_ssd,Memory_hdd,Memory_size,memory_size_gb,processing_speed,gpu_details,GPUCompany_0,GPUCompany_1,GPUCompany_10,GPUCompany_100,GPUCompany_101,GPUCompany_102,GPUCompany_103,GPUCompany_104,GPUCompany_105,GPUCompany_106,GPUCompany_107,GPUCompany_108,GPUCompany_109,GPUCompany_11,GPUCompany_12,GPUCompany_13,GPUCompany_14,GPUCompany_15,GPUCompany_16,GPUCompany_17,GPUCompany_18,GPUCompany_19,GPUCompany_2,GPUCompany_20,GPUCompany_21,GPUCompany_22,GPUCompany_23,GPUCompany_24,GPUCompany_25,GPUCompany_26,GPUCompany_27,GPUCompany_28,GPUCompany_29,GPUCompany_3,GPUCompany_30,GPUCompany_31,GPUCompany_32,GPUCompany_33,GPUCompany_34,GPUCompany_35,GPUCompany_36,GPUCompany_37,GPUCompany_38,GPUCompany_39,GPUCompany_4,GPUCompany_40,GPUCompany_41,GPUCompany_42,GPUCompany_43,GPUCompany_44,GPUCompany_45,GPUCompany_46,GPUCompany_47,GPUCompany_48,GPUCompany_49,GPUCompany_5,GPUCompany_50,GPUCompany_51,GPUCompany_52,GPUCompany_53,GPUCompany_54,GPUCompany_55,GPUCompany_56,GPUCompany_57,GPUCompany_58,GPUCompany_59,GPUCompany_6,GPUCompany_60,GPUCompany_61,GPUCompany_62,GPUCompany_63,GPUCompany_64,GPUCompany_65,GPUCompany_66,GPUCompany_67,GPUCompany_68,GPUCompany_69,GPUCompany_7,GPUCompany_70,GPUCompany_71,GPUCompany_72,GPUCompany_73,GPUCompany_74,GPUCompany_75,GPUCompany_76,GPUCompany_77,GPUCompany_78,GPUCompany_79,GPUCompany_8,GPUCompany_80,GPUCompany_81,GPUCompany_82,GPUCompany_83,GPUCompany_84,GPUCompany_85,GPUCompany_86,GPUCompany_87,GPUCompany_88,GPUCompany_89,GPUCompany_9,GPUCompany_90,GPUCompany_91,GPUCompany_92,GPUCompany_93,GPUCompany_94,GPUCompany_95,GPUCompany_96,GPUCompany_97,GPUCompany_98,GPUCompany_99
1,1,300,4,13.3,8,38,1339.69,0,0,1,0.0,0,0,4.0,0.0,0.0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,301,4,13.3,8,35,898.94,0,0,1,0.0,0,0,2.0,0.0,0.0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,50,3,15.6,4,74,575.0,0,0,1,0.0,0,0,16.0,0.0,0.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,300,4,15.4,8,71,2537.45,0,0,1,0.0,0,0,29.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,300,4,13.3,8,38,1803.6,0,0,1,0.0,0,0,16.0,0.0,0.0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,58,3,15.6,5,105,400.0,0,0,1,0.0,0,0,26.0,0.0,0.0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,300,4,15.4,3,90,2139.97,0,0,1,0.0,0,0,15.0,0.0,0.0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,301,4,13.3,8,35,1158.7,0,0,1,0.0,0,0,15.0,0.0,0.0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,608,4,14.0,5,41,1495.0,0,0,1,0.0,0,0,29.0,0.0,0.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,430,4,14.0,5,62,770.0,0,0,1,0.0,0,0,16.0,0.0,0.0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
